Put on some sunscreen .	涂点 防晒 吧 .
The two nations have strong trade ties .	这 两个 国家 有 强大 的 贸易 关系 .
Excuse me , I am lost .	不好意思 ,   我 迷路 了 .
You seem to be prejudiced against ideas that come from foreign countries .	你 似乎 對 來 自 國外 的 想法 有 偏見 .
Do you know what is happened ?	你 知道 发生 了 什么 事情 吗 ？
Our supplies are running out .	我们 的 供给 要用 完 了 .
I am fed up with this weather .	我 受够了 这 天气 .
This is the cheapest store in town .	這 是 鎮 上 最 便宜 的 商店 .
I decided to study every day .	我 決定 每天 用功 讀書 .
We do not care what he does .	我們 不在乎 他 做 什麼 .
What is the purpose of your visit ?	你 此行 的 目的 是 什麼 ？
The school is located within five minutes &apos; walk of the station .	學校 坐落 於 距離 車站 步行 五分 鐘 的 地方 .
Speech is silver , but silence is golden .	雄 辯 如 銀 ,   沉默 如 金 .
My aunt sent me a birthday present .	我 阿姨 送 了 我 一個 生日 禮物 .
After climbing Mt . Fuji , I got the inspiration for a poem .	攀登 富士山 後 ,   我 得到 了 一首 詩 的 靈感 .
This will keep you warm .	这个 能 保暖 .
Any bed is better than no bed .	任何 床 都 比 沒有 床 好 .
There were two bridges .	那里 有 两座 桥 .
We get the materials from Malaysia .	我們 從 馬來西亞 得到 材料 .
She asked me a question .	她 問 了 我 一個 問題 .
I am proud of you .	我 以 你 為 榮 .
He told me that he was busy then .	他 告诉 我 他 那时 很忙 .
A computer is a complex machine .	电脑 是 个 复杂 的 机器 .
What should they do in this situation ?	在 这种 情况 下 ,   他们 该 做 什么 ？
My mother is busy in the kitchen .	我 的 母親 在 廚房 裡 正忙 著 .
How many rackets do you have ?	你 有 多少 支 球拍 ?
I have always wanted to meet you .	我 一直 想見 你 .
His job is driving a sight @-@ seeing bus .	他 的 工作 是 驾驶 观光 巴士 .
I collect stamps .	我 收集 郵票 .
We know that .	我们 知道 .
There are many ships in the harbor .	港口 內 有 許多 船 .
That was not so hard , was it ?	那 不难 ,   是 吧 ？
I objected to his paying the bill .	我 反 對 他 付 帳 單 .
